Points,URL
80,https://blog.codeship.com/an-introduction-to-graphql-via-the-github-api/
80,https://www.mikeash.com/pyblog/friday-qa-2017-06-30-dissecting-objc_msgsend-on-arm64.html
79,https://benchling.engineering/modeling-science-as-a-directed-graph-bfc149d4502b
78,https://medium.com/airbnb-engineering/messaging-sync-scaling-mobile-messaging-at-airbnb-659142036f06
78,https://www.cockroachlabs.com/blog/follow-the-workload/
78,http://ggajos.com/how-hibernate-ruined-my-career/
76,http://www.wilfred.me.uk/blog/2017/07/02/synthesising-elisp-code/
76,http://lambda-the-ultimate.org/node/5435
76,https://www.mikeash.com/pyblog/friday-qa-2017-12-08-type-erasure-in-swift.html
76,https://slack.engineering/introducing-highlights-ac401d7bd02a
